id,name,code,codigo_ubicacion,distrito_id:id,is_cabecera
corr_1_1_1,BOCAS DEL TORO (CABECERA),1,1-1-1,distrito_pa_1_1,True
corr_1_1_2,BASTIMENTOS,2,1-1-2,distrito_pa_1_1,False
corr_1_1_3,CAUCHERO,3,1-1-3,distrito_pa_1_1,False
corr_1_1_4,PUNTA LAUREL,4,1-1-4,distrito_pa_1_1,False
corr_1_1_5,TIERRA OSCURA,5,1-1-5,distrito_pa_1_1,False
corr_1_2_1,CHANGUINOLA (CABECERA),1,1-2-1,distrito_pa_1_2,True
corr_1_2_2,ALMIRANTE,2,1-2-2,distrito_pa_1_2,False
corr_1_2_3,GUABITO,3,1-2-3,distrito_pa_1_2,False
corr_1_2_4,TERIBE,4,1-2-4,distrito_pa_1_2,False
corr_1_2_5,VALLE DEL RISCO,5,1-2-5,distrito_pa_1_2,False
corr_1_2_6,EL EMPALME,6,1-2-6,distrito_pa_1_2,False
corr_1_2_7,LAS TABLAS,7,1-2-7,distrito_pa_1_2,False
corr_1_3_1,CHIRIQUI GRANDE (CABECERA),1,1-3-1,distrito_pa_1_3,True
corr_1_3_2,MIRAMAR,2,1-3-2,distrito_pa_1_3,False
corr_1_3_3,PUNTA PEÑA,3,1-3-3,distrito_pa_1_3,False
corr_1_3_4,PUNTA ROBALO,4,1-3-4,distrito_pa_1_3,False
corr_1_3_5,RAMBALA,5,1-3-5,distrito_pa_1_3,False
corr_2_1_1,AGUADULCE (CABECERA),1,2-1-1,distrito_pa_2_1,True
corr_2_1_2,EL CRISTO,2,2-1-2,distrito_pa_2_1,False
corr_2_1_3,EL ROBLE,3,2-1-3,distrito_pa_2_1,False
corr_2_1_4,POCRI,4,2-1-4,distrito_pa_2_1,False
corr_2_1_5,BARRIOS UNIDOS,5,2-1-5,distrito_pa_2_1,False
corr_2_2_1,ANTON (CABECERA),1,2-2-1,distrito_pa_2_2,True
corr_2_2_2,CABUYA,2,2-2-2,distrito_pa_2_2,False
corr_2_2_3,EL CHIRU,3,2-2-3,distrito_pa_2_2,False
corr_2_2_4,EL RETIRO,4,2-2-4,distrito_pa_2_2,False
corr_2_2_5,EL VALLE,5,2-2-5,distrito_pa_2_2,False
corr_2_2_6,JUAN DIAZ,6,2-2-6,distrito_pa_2_2,False
corr_2_2_7,RIO HATO,7,2-2-7,distrito_pa_2_2,False
corr_2_2_8,SAN JUAN DE DIOS,8,2-2-8,distrito_pa_2_2,False
corr_2_2_9,SANTA RITA,9,2-2-9,distrito_pa_2_2,False
corr_2_2_10,CABALLERO,10,2-2-10,distrito_pa_2_2,False
corr_2_3_1,LA PINTADA (CABECERA),1,2-3-1,distrito_pa_2_3,True
corr_2_3_2,EL HARINO,2,2-3-2,distrito_pa_2_3,False
corr_2_3_3,EL POTRERO,3,2-3-3,distrito_pa_2_3,False
corr_2_3_4,LLANO GRANDE,4,2-3-4,distrito_pa_2_3,False
corr_2_3_5,PIEDRAS GORDAS,5,2-3-5,distrito_pa_2_3,False
corr_2_3_6,LAS LOMAS,6,2-3-6,distrito_pa_2_3,False
corr_2_4_1,NATA (CABECERA),1,2-4-1,distrito_pa_2_4,True
corr_2_4_2,CAPELLANIA,2,2-4-2,distrito_pa_2_4,False
corr_2_4_3,EL CAÑO,3,2-4-3,distrito_pa_2_4,False
corr_2_4_4,GUZMAN,4,2-4-4,distrito_pa_2_4,False
corr_2_4_5,LAS HUACAS,5,2-4-5,distrito_pa_2_4,False
corr_2_4_6,TOZA,6,2-4-6,distrito_pa_2_4,False
corr_2_5_1,OLA (CABECERA),1,2-5-1,distrito_pa_2_5,True
corr_2_5_2,EL COPE,2,2-5-2,distrito_pa_2_5,False
corr_2_5_3,EL PALMAR,3,2-5-3,distrito_pa_2_5,False
corr_2_5_4,EL PICACHO,4,2-5-4,distrito_pa_2_5,False
corr_2_5_5,LA PAVA,5,2-5-5,distrito_pa_2_5,False
corr_2_6_1,PENONOME (CABECERA),1,2-6-1,distrito_pa_2_6,True
corr_2_6_2,CAÑAVERAL,2,2-6-2,distrito_pa_2_6,False
corr_2_6_3,COCLE,3,2-6-3,distrito_pa_2_6,False
corr_2_6_4,CHIGUIRI ARRIBA,4,2-6-4,distrito_pa_2_6,False
corr_2_6_5,EL COCO,5,2-6-5,distrito_pa_2_6,False
corr_2_6_6,PAJONAL,6,2-6-6,distrito_pa_2_6,False
corr_2_6_7,RIO GRANDE,7,2-6-7,distrito_pa_2_6,False
corr_2_6_8,RIO INDIO,8,2-6-8,distrito_pa_2_6,False
corr_2_6_9,TOABRE,9,2-6-9,distrito_pa_2_6,False
corr_2_6_10,TULU,10,2-6-10,distrito_pa_2_6,False
corr_3_1_1,BARRIO NORTE,1,3-1-1,distrito_pa_3_1,False
corr_3_1_2,BARRIO SUR,2,3-1-2,distrito_pa_3_1,False
corr_3_1_3,BUENA VISTA,3,3-1-3,distrito_pa_3_1,False
corr_3_1_4,CATIVA,4,3-1-4,distrito_pa_3_1,False
corr_3_1_5,CIRICITO,5,3-1-5,distrito_pa_3_1,False
corr_3_1_6,CRISTOBAL,6,3-1-6,distrito_pa_3_1,False
corr_3_1_7,ESCOBAL,7,3-1-7,distrito_pa_3_1,False
corr_3_1_8,LIMON,8,3-1-8,distrito_pa_3_1,False
corr_3_1_9,NUEVA PROVIDENCIA,9,3-1-9,distrito_pa_3_1,False
corr_3_1_10,PUERTO PILON,10,3-1-10,distrito_pa_3_1,False
corr_3_1_11,SABANITAS,11,3-1-11,distrito_pa_3_1,False
corr_3_1_12,SALAMANCA,12,3-1-12,distrito_pa_3_1,False
corr_3_1_13,SAN JUAN,13,3-1-13,distrito_pa_3_1,False
corr_3_1_14,SANTA ROSA,14,3-1-14,distrito_pa_3_1,False
corr_3_2_1,NUEVO CHAGRES (CABECERA),1,3-2-1,distrito_pa_3_2,True
corr_3_2_2,ACHIOTE,2,3-2-2,distrito_pa_3_2,False
corr_3_2_3,EL GUABO,3,3-2-3,distrito_pa_3_2,False
corr_3_2_4,LA ENCANTADA,4,3-2-4,distrito_pa_3_2,False
corr_3_2_5,PALMAS BELLAS,5,3-2-5,distrito_pa_3_2,False
corr_3_2_6,PIÑA,6,3-2-6,distrito_pa_3_2,False
corr_3_2_7,SALUD,7,3-2-7,distrito_pa_3_2,False
corr_3_3_1,MIGUEL DE LA BORDA (CABECERA),1,3-3-1,distrito_pa_3_3,True
corr_3_3_2,COCLE DEL NORTE,2,3-3-2,distrito_pa_3_3,False
corr_3_3_3,EL GUASIMO,3,3-3-3,distrito_pa_3_3,False
corr_3_3_4,GOBEA,4,3-3-4,distrito_pa_3_3,False
corr_3_3_5,RIO INDIO,5,3-3-5,distrito_pa_3_3,False
corr_3_3_6,SAN JOSE DEL GENERAL,6,3-3-6,distrito_pa_3_3,False
corr_3_4_1,PORTOBELO (CABECERA),1,3-4-1,distrito_pa_3_4,True
corr_3_4_2,CACIQUE,2,3-4-2,distrito_pa_3_4,False
corr_3_4_3,GARROTE,3,3-4-3,distrito_pa_3_4,False
corr_3_4_4,ISLA GRANDE,4,3-4-4,distrito_pa_3_4,False
corr_3_4_5,MARIA CHIQUITA,5,3-4-5,distrito_pa_3_4,False
corr_3_5_1,PALENQUE (CABECERA),1,3-5-1,distrito_pa_3_5,True
corr_3_5_2,CUANGO,2,3-5-2,distrito_pa_3_5,False
corr_3_5_3,MIRAMAR,3,3-5-3,distrito_pa_3_5,False
corr_3_5_4,NOMBRE DE DIOS,4,3-5-4,distrito_pa_3_5,False
corr_3_5_5,PALMIRA,5,3-5-5,distrito_pa_3_5,False
corr_3_5_6,PLAYA CHIQUITA,6,3-5-6,distrito_pa_3_5,False
corr_3_5_7,SANTA ISABEL,7,3-5-7,distrito_pa_3_5,False
corr_3_5_8,VIENTO FRIO,8,3-5-8,distrito_pa_3_5,False
corr_4_1_1,ALANJE (CABECERA),1,4-1-1,distrito_pa_4_1,True
corr_4_1_2,DIVALA,2,4-1-2,distrito_pa_4_1,False
corr_4_1_3,EL TEJAR,3,4-1-3,distrito_pa_4_1,False
corr_4_1_4,GUARUMAL,4,4-1-4,distrito_pa_4_1,False
corr_4_1_5,PALO GRANDE,5,4-1-5,distrito_pa_4_1,False
corr_4_1_6,QUEREVALO,6,4-1-6,distrito_pa_4_1,False
corr_4_1_7,SANTO TOMAS,7,4-1-7,distrito_pa_4_1,False
corr_4_1_8,CANTA GALLO,8,4-1-8,distrito_pa_4_1,False
